MONTH,DAY,WEEKDAY,AIRLINE,ORG_AIR,DEST_AIR,SCHED_DEP,DEP_DELAY,AIR_TIME,DIST,SCHED_ARR,ARR_DELAY
1,1,4,WN,LAX,SLC,1625,58.0,94.0,590,1905,65.0
1,1,4,MQ,ORD,CID,1135,-7.0,37.0,196,1238,-15.0
1,1,4,EV,ORD,GSO,1850,4.0,78.0,589,2139,-12.0
1,2,5,US,LAS,PHX,635,-4.0,44.0,255,846,-15.0
1,2,5,AA,LAX,KOA,840,32.0,341.0,2504,1230,44.0
1,2,5,DL,LAX,RDU,1200,12.0,256.0,2239,1944,6.0
1,2,5,WN,PHX,MSP,1845,35.0,154.0,1276,2245,20.0
1,3,6,WN,DEN,SFO,1715,89.0,132.0,967,1855,94.0
1,3,6,WN,LAS,RNO,1410,1.0,62.0,345,1530,3.0
1,3,6,AS,SFO,SEA,1010,1.0,107.0,679,1212,10.0
1,4,7,AS,LAS,SEA,1500,20.0,140.0,867,1745,13.0
1,4,7,AA,ORD,MIA,1210,332.0,168.0,1197,1616,343.0
1,4,7,OO,LAX,LAS,1005,34.0,42.0,236,1122,31.0
1,4,7,UA,LAS,SFO,803,-1.0,69.0,414,949,-15.0
1,5,1,UA,IAH,FLL,1026,5.0,116.0,965,1351,-4.0
1,5,1,AA,LAS,LAX,1130,2.0,38.0,236,1240,30.0
1,5,1,EV,IAH,CVG,2007,48.0,112.0,871,2320,56.0
1,6,2,UA,DEN,MSP,804,0.0,94.0,680,1103,2.0
1,6,2,WN,DEN,ATL,1930,68.0,133.0,1199,20,48.0
1,6,2,AA,DFW,ABQ,1040,1.0,90.0,569,1133,1.0
1,6,2,OO,DEN,BFL,1114,-1.0,123.0,845,1251,-18.0
1,7,3,WN,LAX,OAK,710,1.0,51.0,337,825,-7.0
1,7,3,AA,ORD,MCO,1502,0.0,121.0,1005,1835,-15.0
1,7,3,MQ,ORD,SDF,710,35.0,47.0,287,926,31.0
1,8,4,DL,DEN,DTW,610,-5.0,132.0,1123,1116,-36.0
1,8,4,WN,DEN,SDF,1030,-6.0,113.0,1024,1455,-23.0
1,8,4,EV,IAH,AMA,1430,3.0,80.0,517,1617,4.0
1,9,5,AA,LAX,ORD,900,65.0,226.0,1744,1507,85.0
1,9,5,UA,IAH,MSY,1500,4.0,44.0,305,1607,-2.0
1,9,5,OO,LAX,SMF,1543,10.0,56.0,373,1712,-6.0
1,10,6,OO,LAX,SAN,1633,9.0,36.0,109,1726,12.0
1,10,6,DL,ATL,SRQ,906,-2.0,62.0,444,1036,-14.0
1,11,7,MQ,DFW,EVV,1320,10.0,88.0,642,1507,19.0
1,11,7,B6,LAS,LGB,1501,166.0,41.0,231,1605,171.0
1,11,7,WN,LAS,PDX,2055,19.0,123.0,763,2320,11.0
1,11,7,AA,DFW,DCA,2000,,,1192,2336,
1,12,1,B6,SFO,LGB,1921,15.0,58.0,354,2039,10.0
1,12,1,WN,ATL,CAK,2045,13.0,70.0,528,2235,-14.0
1,12,1,OO,DFW,IAH,1126,46.0,46.0,224,1233,50.0
1,13,2,AA,LAS,LAX,1555,-5.0,45.0,236,1702,0.0
1,13,2,AA,DFW,STL,1230,-4.0,77.0,550,1404,-7.0
1,13,2,EV,ORD,LIT,1635,-2.0,83.0,552,1831,-15.0
1,14,3,AA,ORD,DCA,1515,0.0,84.0,612,1802,8.0
1,14,3,OO,DEN,BUR,1110,7.0,118.0,850,1246,-11.0
1,14,3,DL,DFW,ATL,1700,-4.0,95.0,731,2006,-10.0
1,15,4,EV,DEN,FAR,1945,0.0,91.0,627,2236,11.0
1,15,4,WN,DEN,LAS,1205,-2.0,87.0,628,1300,-14.0
1,15,4,WN,LAS,LAX,1300,0.0,40.0,236,1405,0.0
1,15,4,WN,DEN,PIT,1805,4.0,148.0,1290,2255,-2.0
1,16,5,WN,LAS,SAN,810,-6.0,44.0,258,915,-10.0
1,16,5,UA,DEN,ORD,1022,2.0,116.0,888,1353,-3.0
1,16,5,DL,ATL,AUS,1859,-2.0,121.0,813,2037,-8.0
1,17,6,F9,DEN,SEA,1722,90.0,162.0,1024,1915,93.0
1,17,6,B6,SFO,LAS,925,-1.0,64.0,414,1101,-10.0
1,17,6,OO,LAX,SJC,820,-3.0,51.0,308,942,-3.0
1,18,7,WN,ATL,RIC,2045,-3.0,66.0,481,2225,-14.0
1,18,7,B6,ORD,JFK,1840,5.0,105.0,740,2148,19.0
1,18,7,EV,IAH,CRP,2112,-3.0,37.0,201,2214,-2.0
1,19,1,WN,PHX,BUF,1610,-1.0,217.0,1912,2215,-14.0
1,19,1,UA,SFO,LAS,1250,36.0,58.0,414,1429,20.0
1,19,1,OO,SFO,DFW,845,90.0,170.0,1464,1416,83.0
1,20,2,AA,DFW,LAS,1715,-6.0,160.0,1055,1818,-12.0
1,20,2,DL,ATL,SRQ,1137,-3.0,64.0,444,1308,-13.0
1,20,2,EV,ATL,GRK,1920,0.0,130.0,803,2050,1.0
1,21,3,DL,PHX,MSP,955,-4.0,157.0,1276,1412,-13.0
1,21,3,DL,ORD,ATL,1130,-3.0,82.0,606,1429,7.0
1,21,3,UA,ATL,EWR,1207,-14.0,96.0,746,1420,-28.0
1,21,3,US,DFW,PHL,1525,20.0,147.0,1303,1928,25.0
1,22,4,OO,LAX,SBA,1252,-3.0,22.0,89,1339,-3.0
1,22,4,EV,DEN,BNA,1005,10.0,121.0,1014,1341,-1.0
1,22,4,US,LAX,CLT,1145,23.0,244.0,2125,1915,30.0
1,23,5,DL,LAX,HNL,1445,0.0,311.0,2556,1837,-17.0
1,23,5,DL,ATL,MEM,1455,-4.0,60.0,332,1519,-11.0
1,23,5,OO,LAX,TUS,1830,6.0,66.0,451,2056,7.0
1,23,5,WN,LAS,SMF,1200,-3.0,68.0,397,1335,-12.0
1,24,6,EV,IAH,ICT,1930,4.0,84.0,542,2114,5.0
1,24,6,OO,ORD,DLH,1335,-10.0,73.0,397,1510,-9.0
1,24,6,UA,SFO,IAH,45,0.0,199.0,1635,617,20.0
1,25,7,AA,DFW,MSP,1445,21.0,125.0,852,1706,26.0
1,25,7,WN,ATL,BDL,1145,-3.0,109.0,859,1400,-14.0
1,25,7,DL,MSP,DTW,1027,-5.0,79.0,528,1313,-10.0
1,26,1,DL,PHX,JFK,1323,,,2153,2000,
1,26,1,OO,SFO,PSP,1055,-8.0,77.0,421,1228,10.0
1,26,1,WN,LAX,SMF,1845,34.0,56.0,373,2005,21.0
1,26,1,DL,ATL,PHX,2046,-5.0,222.0,1587,2304,-15.0
1,27,2,UA,ATL,EWR,630,,,746,841,
1,27,2,EV,ATL,TRI,908,-7.0,53.0,227,1010,11.0
1,27,2,EV,MSP,GRR,1500,-3.0,53.0,408,1726,-18.0
1,28,3,WN,LAX,HOU,1235,-1.0,168.0,1390,1740,-6.0
1,28,3,EV,IAH,JAX,1304,-5.0,103.0,817,1609,-7.0
1,28,3,NK,PHX,ORD,125,-4.0,166.0,1440,549,-12.0
1,29,4,UA,ORD,SFO,1256,32.0,259.0,1846,1540,33.0
1,29,4,WN,PHX,LAX,600,-5.0,61.0,370,630,-14.0
1,29,4,WN,LAS,SNA,655,-6.0,43.0,226,800,-14.0
1,29,4,WN,DEN,MDW,945,13.0,108.0,895,1305,-3.0
1,30,5,DL,ATL,HSV,1909,-5.0,30.0,151,1911,-6.0
1,30,5,DL,ATL,DTW,910,-4.0,90.0,594,1110,-4.0
1,30,5,AS,DEN,SEA,1200,7.0,145.0,1024,1354,1.0
1,31,6,OO,LAX,SJC,2140,-7.0,54.0,308,2250,6.0
1,31,6,DL,LAX,LAS,1915,-5.0,42.0,236,2029,-14.0
1,31,6,OO,IAH,PSP,1008,-7.0,175.0,1269,1142,-22.0
2,1,7,AA,DFW,TPA,1710,-4.0,106.0,929,2026,-16.0
2,1,7,US,LAX,PHL,625,-6.0,281.0,2402,1427,-5.0
2,2,1,DL,ATL,IND,1914,-6.0,67.0,432,2050,5.0
